genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tap2,1025.7444497334966,-0.17034903926188202,0.033409500390619316,4.94511800140689e-10,7.331999957667355e-8
Tspan3,102.63761056618851,-0.4188260303864269,0.07343641807685271,5.245854545489406e-10,7.688493253969589e-8
Ctsd,921.782283505925,-0.2934758244196169,0.05118919026033782,6.343150276601883e-10,9.191080588289843e-8
Naa20,315.8701796429201,-0.28462521218060655,0.04981599927122911,6.719826720726507e-10,9.627473091683562e-8
Epsti1,1776.8624226101967,-0.3053573430474499,0.05345674407251552,7.28709653988801e-10,1.0324196442234669e-7
Alcam,172.95461233158892,-0.4746187730885398,0.08446043945915171,7.758214518016088e-10,1.0870878386727818e-7
Trim30a,447.2259624689134,-0.23722965769103457,0.04380920271673399,1.2857907398857092e-9,1.782078013508987e-7
Tbx21,144.12530705344662,-1.0342907122425844,0.20107815461709797,1.8698102026085813e-9,2.5636505261787116e-7
Fam49a,122.6930131913417,-0.34517318467192026,0.06264653878696022,2.000517120772102e-9,2.713680192230327e-7
Irf9,362.6901161080391,-0.22838783561247653,0.043459849637849185,2.1013833171410743e-9,2.820498808091141e-7
Sidt1,273.4586779374951,-0.4201191128045711,0.07724250396678033,2.2942805215795662e-9,3.0473303052771924e-7
Parp11,97.96572668774579,-0.41750008427859875,0.07718737078012872,2.7151504035983025e-9,3.569163174874429e-7
Ly6c2,93.20376895014078,-1.550249560190474,0.3034129913300383,6.866501638471196e-9,8.934159427770023e-7
AU020206,568.92537681908,-0.27893678725894844,0.053304114461354725,7.001142012061571e-9,9.017329474322938e-7
Il12rb1,183.5506985103867,-0.4286501669998389,0.08321386294690652,1.0192637651779451e-8,1.2996632269783978e-6
Scpep1,80.92059264661158,-0.5462960129842694,0.10739107204731828,1.1838762646228854e-8,1.4946144802184566e-6
Slamf7,82.64527185070983,-0.8433683477649512,0.1757257899112638,1.2537501587459837e-8,1.5673106151147097e-6
Ifng,76.73900489831215,-1.6528372438392502,0.3324202827619944,1.278955126148481e-8,1.5832967780115807e-6
Ncf1,93.52437757287284,-0.49910371111252727,0.09877124914681862,1.517895208616575e-8,1.859293646222897e-6
Selenok,806.7708454452076,-0.11882975936152702,0.025272907470952097,1.5310629194055696e-8,1.859293646222897e-6
Mapk9,151.71529656719719,-0.28713578280792923,0.05701948734377954,1.851543404188337e-8,2.227266976113725e-6
Lpin2,116.97157525607494,-0.35880697525811367,0.0709622161377317,1.8872537749722538e-8,2.2490068116515147e-6
Ikzf2,2672.305760724066,-0.14755229449392668,0.03389698335910656,2.2407495289430697e-8,2.6436708270158598e-6
Smchd1,597.2216819287494,-0.17852502799383851,0.04066144054327076,2.259902126458542e-8,2.6436708270158598e-6
Abracl,1892.5071774573098,-0.1240279471337427,0.027831983141184256,3.5612186211525436e-8,4.128099876210553e-6
Trim21,143.64590343458232,-0.28690070931380574,0.058864050135409754,3.717692031798797e-8,4.236822327052029e-6
Gzmk,20.38665094501902,-1.9567206130193702,0.43373612562722763,3.721465772330227e-8,4.236822327052029e-6
Oas1a,165.8299354078638,-0.37852286802190765,0.07763306990593472,4.1906675589888625e-8,4.728778942005928e-6
Il10ra,441.1637210346847,-0.20476555519436876,0.04645130115851245,4.4946064209301535e-8,5.02725670818249e-6
Wls,278.7815627469141,-0.30779757327000706,0.06371005489261973,5.0517625245764207e-8,5.601306430510778e-6
Ccr5,224.14049839148421,-0.5024263931907886,0.10590686682340479,6.429749336480553e-8,7.007327674313123e-6
H2-Q6,1077.4740654870216,-0.2327393032082481,0.0515322295694787,6.401173414920743e-8,7.007327674313123e-6
Hip1,222.04685899282646,-0.5856278001762825,0.12500286573137026,6.862250949846017e-8,7.415301852668353e-6
Rap2a,57.19270304464691,-0.5486221999122204,0.11714169132089704,7.68847718877443e-8,8.238300221349811e-6
Ubald2,366.7022362059044,-0.2068103844790766,0.04850596971902878,8.868268537197154e-8,9.423274343150076e-6
Hadh,222.75790080415032,0.25361787475031394,0.05652109202531929,1.1287743875812194e-7,1.1895043153758784e-5
Ltb4r1,32.95802514723333,0.6784256121298283,0.1522282574646469,1.2065823004900044e-7,1.2610763043891841e-5
Rnf114,570.1252906526339,-0.13131718193372696,0.0320305132114702,1.2710630503510715e-7,1.3176686955306108e-5
Casp1,234.0681656734652,-0.33605094012547765,0.07315122725531469,1.4162594967988185e-7,1.4563487777162688e-5
Hars,216.75306336616637,-0.2109913787346674,0.05060201898502732,1.4677305907691098e-7,1.4972026210317535e-5
mt-Co2,10123.204349711837,0.07017837906406144,0.01419913060809798,1.512354463704043e-7,1.5304787116420834e-5
Nkg7,960.6491917089933,-0.8260552064652207,0.1969917643877914,1.8617828985219662e-7,1.8546557608635618e-5
Pdlim4,11.97774164274393,1.282221167964867,0.3059490209794859,1.8473642443485417e-7,1.8546557608635618e-5
Nacc2,16.99919499229087,-1.0724395141020067,0.26000340860213733,1.9241203394833936e-7,1.8872660345194424e-5
Jak2,276.8324447268459,-0.2501257276733228,0.057754924506879836,1.9221769436818578e-7,1.8872660345194424e-5
Rtp4,370.07467490357783,-0.32919282523274224,0.07298768186381678,1.940566134882411e-7,1.8888670828920322e-5
Gm12185,248.5049411025198,-0.25586708304777345,0.05885723204340373,1.9941808777444886e-7,1.9263485130393917e-5
Psma5,580.7727862426979,-0.13551404479340784,0.03441125860783431,2.2205694652111008e-7,2.1289083647298305e-5
Gm7030,256.03738311822724,-0.21161566348281413,0.05289671030466766,2.927056144244101e-7,2.785290514571383e-5
Sorcs2,61.325153969133595,0.5940662711568213,0.13784099233924155,3.0221909517602146e-7,2.8335262371981243e-5
Rflnb,164.91338290591946,0.3490076281855624,0.07933862027414891,3.0167943201719947e-7,2.8335262371981243e-5
Mapk11,67.06685069415796,0.39727559088239306,0.09043135353319894,3.0524481940040053e-7,2.8410048847989104e-5
Tmem140,72.07857082913144,-0.3791454513754721,0.08674873381955694,3.3543320448265055e-7,3.099354195911795e-5
Pogk,20.468299506626273,-0.7605273739015976,0.19012150964817592,4.654716499200541e-7,4.269948926712669e-5
Ntan1,422.04469272791977,-0.14930208466095604,0.04109051857202025,6.066089007897809e-7,5.524907209978925e-5
Psma4,908.450892215002,-0.09701873031891048,0.02281095922689324,6.620788442273022e-7,5.98735272534917e-5
Ctsa,757.3611648662264,-0.16019410930262373,0.04457837571380031,6.708144652647055e-7,6.0236304553452536e-5
Plcl1,87.76922373842847,0.3673654201712751,0.08805770171361103,6.81650318902183e-7,6.078128123301913e-5
Aven,282.3501466599767,0.2683844162311909,0.0664845195259774,7.082610454772782e-7,6.271553188111649e-5
Uba7,238.16985918323047,-0.1985382771660854,0.05381964255615348,7.390010867414422e-7,6.498622660027675e-5
Ifngr2,87.58986703946074,0.48664008923517216,0.11804192819758197,7.491336345981467e-7,6.542604777233541e-5
Ppa1,229.5281547615503,-0.2430569255402656,0.06230834788555109,7.959339529966381e-7,6.904050227659955e-5
Cd200r1,124.91295324520206,0.3253811311279786,0.07933663979978885,8.190869635507203e-7,7.056876940699483e-5
Rac2,7282.16540202429,-0.07174731174337425,0.015779289830749752,9.574290676453138e-7,8.19340808157409e-5
Jdp2,33.39862341706503,-0.5954528402137832,0.1503718673600122,9.90487465958365e-7,8.419803785623408e-5
Rpl35,6084.5437555826165,0.12487107152982488,0.03381089576540927,1.0295400803000605e-6,8.693818254242432e-5
Grina,303.18402068408614,-0.17587162751989285,0.050582817242118834,1.1953891201517317e-6,1.0027899125693902e-4
Cntrl,446.11814720013746,-0.12210306894331971,0.033135099798553704,1.234053489671767e-6,1.0284585651506339e-4
Mctp2,13.473507456985546,-0.8505676341461967,0.2382999619435863,1.3573044209264904e-6,1.1238304331969923e-4
She,26.72791918337022,0.5016802021096729,0.12848570696483821,1.4758178676448596e-6,1.2140744277638454e-4
Ifngas1,65.37148671771722,-1.0159002356546885,0.29413263446069515,1.4901732430169787e-6,1.2180255783147113e-4
Xaf1,326.1834627334367,-0.2103884618023198,0.05939697027029758,1.5935695889438542e-6,1.2942424094664385e-4
Dclk2,41.07517820513996,-0.4508987253306936,0.1157485327044442,1.6158476644393659e-6,1.3040299727383768e-4
Psma2,1347.7975243318567,-0.08482591720628253,0.01997029217986538,1.6467439099326754e-6,1.3206057607265123e-4
Nlrp1b,38.299052596452675,-0.4789793111477146,0.12359839249345426,1.66640006707247e-6,1.3280167034525664e-4
Edem1,395.03447601110895,-0.16131589235678093,0.04793017768069674,1.737743576080646e-6,1.37627132537915e-4
Idnk,340.2590680858507,-0.16766420631875759,0.04981993027808051,1.762553832132394e-6,1.387303945279022e-4
Calhm6,134.90211625240624,-0.33732940302850484,0.08820473585319602,1.9991928639252885e-6,1.5639084790129666e-4
Tmem273,65.71626640675352,0.496369475381612,0.13079344251947167,2.0580066107150644e-6,1.6001001398309626e-4
Bst2,650.3890131647846,-0.23915211735205327,0.06663149290213961,2.1287009509600618e-6,1.6450342924661667e-4
Gpx1,1305.8429827553603,0.1244416553346526,0.03537671801047552,2.150353655203313e-6,1.651756593825147e-4
Cd27,1301.1306407645652,-0.12506076379840425,0.03599021201381852,2.4739359696245615e-6,1.8889315897414842e-4
Ptger4,206.585732242199,-0.24003141488755622,0.06848727209310183,2.82431203560572e-6,2.1436192122624128e-4
mt-Cytb,6571.544049939339,0.08222526393701907,0.019815380217188122,2.9858218422313714e-6,2.2527937461711372e-4
Pdia3,1859.7196934321641,-0.09775175313853261,0.025280323415804322,3.1323603405583764e-6,2.3494545119094032e-4
Smpdl3a,701.8712736785868,-0.11868181673765875,0.03397574739767662,3.2121303821075927e-6,2.3951973393130944e-4
Rgs12,15.268098400109775,-0.6673734097380438,0.19454324362851502,3.314843731234305e-6,2.457417000986548e-4
Gm5127,16.765471766423993,0.5902242379373248,0.16743987654823284,3.3871879396487158e-6,2.496533723610449e-4
Gm40348,3.870277452904607,-1.5160039625391928,0.5995551568536196,3.5112460746571756e-6,2.573097626319175e-4
