genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tgfbr1,252.9732293056462,-0.4953602781025624,0.08943431990285348,2.329207993681138e-9,2.076956352460705e-7
Gas7,12.876351136164775,1.7283194829664872,0.3280297140921948,2.4840625933341702e-9,2.2000738157719122e-7
Zfp706,672.8300904869586,-0.22046965477197802,0.04188503819545563,2.5048484565227704e-9,2.2035941992013743e-7
Adk,252.5837217623936,0.28156231084696776,0.05413159007545701,2.7422090632080216e-9,2.3963250933687165e-7
Kcnn4,501.97515180659923,-0.2050560577759542,0.03890690021606168,2.7939645197683973e-9,2.409426771389747e-7
Ccr4,244.16299521259998,-0.3677358631982298,0.06877727460424876,2.7799730825516805e-9,2.409426771389747e-7
Mgat5,156.1630976416497,-0.36369336774465255,0.06853847644790341,3.283893421737775e-9,2.811645063397967e-7
Gpnmb,17.76240615817605,1.1063263743446403,0.2222821944515044,3.3032754025273643e-9,2.811645063397967e-7
Pglyrp2,495.2162705178836,0.176319121054304,0.03348416938469912,3.3760574841704477e-9,2.8550555808068534e-7
Hpcal1,243.77074389125698,0.23328192890868513,0.04502859257103956,3.4605022861628223e-9,2.907709228655274e-7
Naa16,124.10709874533653,-0.2968641066992366,0.05741852616868029,3.4852961537569038e-9,2.90988929830863e-7
Vrk1,368.7670671827445,-0.1921078413965455,0.036630704218790056,3.5368015186173694e-9,2.9342021712681315e-7
Fgr,27.274475830800345,0.6187060438908256,0.11473737604935536,3.6301475820376137e-9,2.992702799078556e-7
Tbca,883.4075462273729,-0.15079625238869984,0.0287727109878142,3.675063777209993e-9,3.010795999479287e-7
Rai14,14.149986189262998,0.9097349773577912,0.18245250895104237,4.5176493087398425e-9,3.678096095587693e-7
Podnl1,183.51018468604286,0.4980157319241203,0.09228920714733463,4.9385435751377885e-9,3.99595241869791e-7
Gm11707,124.13497074069755,-0.4010675133286172,0.07581234322669922,5.210483210710473e-9,4.190123553741894e-7
Zbtb20,202.514414765091,-0.503572788326574,0.09370741690247109,5.567752485858159e-9,4.450128023452972e-7
Inpp4b,2880.415131623835,-0.27292122707483635,0.05407671347128176,6.042558935463644e-9,4.800355304609542e-7
Tmem50a,1173.2658982312248,-0.1390438296265521,0.027099331748058546,6.3767158232646675e-9,5.035300663334534e-7
Il18r1,217.98507675667983,-0.5544422280059558,0.10395324655980089,6.482228662754267e-9,5.087967264154667e-7
Peli1,1077.9396951748977,-0.18903157986310012,0.03687351737330673,6.5950220152015415e-9,5.145687415194154e-7
Hltf,213.01895306768893,0.2337400730328041,0.046304030381152814,6.83993246170867e-9,5.28896118435258e-7
Hnrnpll,258.2165323839774,-0.26899023402441036,0.05356585134842721,6.859348499694374e-9,5.28896118435258e-7
2610204G07Rik,28.429317970608075,-1.011540511474368,0.20897937149077242,6.989701663665902e-9,5.357953766510681e-7
Arhgap27os3,114.9085399262305,-0.3718679639554147,0.07188224385920422,7.093390586323143e-9,5.405823477065335e-7
Sla,1080.4908872480305,0.185958810973347,0.03639001286613889,7.2770290154642314e-9,5.513716551139025e-7
Lpcat4,216.4785562118593,0.328003925097774,0.06490461035438078,8.235411832591675e-9,6.204010247219061e-7
Cables1,15.669964826413219,1.0962823773587387,0.22895665693913536,8.565614774358465e-9,6.415890197845186e-7
Top1,703.0760735480598,-0.14158072718200884,0.02806046519076786,9.983715861735577e-9,7.435599290660792e-7
Stk32c,31.367484731294436,0.6236000610196175,0.12118244002160426,1.2518038200044427e-8,9.270420605999003e-7
Cmtm7,738.3722816744855,-0.20525450052622157,0.041291198118515476,1.2764220290139977e-8,9.377796134822652e-7
Crim1,150.64794667324827,0.2782200779305994,0.056769877336206184,1.2806114648560075e-8,9.377796134822652e-7
Syngr2,436.03445314195966,-0.2074907915176703,0.04206873373669485,1.5148511103960812e-8,1.1031482419484351e-6
Rundc3b,98.6403410989996,0.29050468221704107,0.05960577477144907,1.530843332912208e-8,1.1086350501554267e-6
H3f3a,3121.0278034422786,-0.06641992441655448,0.012405175599150426,1.6617934421890725e-8,1.196856507704086e-6
Cerk,81.71691076217047,-0.3797182220864855,0.07574949774279925,1.6944036838257253e-8,1.2136745075184486e-6
Cyth4,583.8703319190315,-0.18361937046115742,0.037354590986833545,1.927598052003581e-8,1.3732040905251596e-6
Tbc1d4,184.75572258345926,-0.6303680528054965,0.12490228250441812,1.9629408193530598e-8,1.3908231491935086e-6
Camk4,699.9438522574312,0.15602736809991416,0.03175471812818088,2.0017311340844708e-8,1.4106823497623247e-6
Myh9,3013.163097494534,-0.13737649675699434,0.02807369967204804,2.1721595601688674e-8,1.5226025408927013e-6
Rbpj,104.94105141374119,-0.2950118252749569,0.061394881567880075,2.19330879931272e-8,1.5292495607122945e-6
Dipk1a,162.21079197857995,-0.3887261314519869,0.07852467210588167,2.4823779724314232e-8,1.7216407652185763e-6
Rrp1b,135.01940299862088,-0.30738817018145964,0.06442236043579316,2.786503716371263e-8,1.9223942481155005e-6
Anxa5,338.9793794613921,-0.22027867997476722,0.04610516432587294,2.868605050985464e-8,1.9686740842051026e-6
Pdk1,143.28461408452665,0.2636067279078506,0.05572825160103427,2.919751381923898e-8,1.993338599700961e-6
Errfi1,39.3190151147076,0.5806831045474524,0.11617826972989051,3.115163212130433e-8,2.115728465523612e-6
Src,27.56992055143583,-0.648711309392597,0.13179280084254522,3.210476732496649e-8,2.1692231448229933e-6
Fgd2,9.33749191449855,1.0521191594738377,0.2335351493088773,3.374511248948596e-8,2.2683637667291385e-6
Stard10,37.93368762804708,0.5450484618225854,0.10915052471702026,3.505601031084793e-8,2.344460118135687e-6
Actn1,72.75070704847133,-0.5341498751399987,0.10699083227161131,3.579381537634014e-8,2.3816514312338405e-6
Nucb1,403.3549802975332,0.23683644168788717,0.05041714529886849,3.7343187594055006e-8,2.47219445950946e-6
Asb2,291.5566976089644,0.9053537525836567,0.19859850481313004,3.7611261502557875e-8,2.477429225002656e-6
2310001H17Rik,334.95433089397955,-0.22786516309534344,0.04844884899650496,3.853518561547472e-8,2.5255960652382136e-6
H2-Oa,74.73334941731716,-0.4038946425153584,0.08282727454955544,3.981977525996316e-8,2.5968040502865525e-6
Zmynd8,279.25341953537765,0.17680673730149338,0.037095438700551965,4.0374599076028814e-8,2.619951706379137e-6
Tnfrsf1a,91.65689716904426,0.3048597806384894,0.06503200816034543,4.0792042802965237e-08,2.6340004781343267e-6
