genes,LD1,LD2,LD3
Nifk,-0.0025089558780622355,0.014897646604692578,0.02932735608242663
Clasp1,-0.00215149745671984,0.01266334950112815,-0.008356656412631747
Tmem185b,-0.005006665816697016,0.023544741020370078,0.02602262391501114
Ptpn4,0.020863793202072035,0.013450244309054893,-0.06675836516881778
Ccdc93,8.505529719251442e-4,0.015361971125501838,0.019264084407714464
Actr3,-0.03368846055425423,0.055705836642165475,0.005429706817022103
Mgat5,-0.007553702776213821,-8.301985085949643e-4,5.397043308620526e-4
Ccnt2,-0.0035779047094464523,0.0016527355037488389,-0.01974535521017733
Ubxn4,6.520215833220701e-4,0.008157368212083339,0.012409475858388763
Mcm6,-0.0033532903866421077,0.05945980753029695,-0.004335845032157238
Srgap2,-0.010926053176697894,0.005830397650469812,-0.019021080604052682
Rbbp5,-0.0026494744868860855,0.013223378109421454,0.06294769158710434
Ppp1r15b,-0.0274416926008709,1.3376022645179652e-4,-0.02939135982077915
Rabif,0.012467258133646948,0.004173066547238016,-0.012820448038092012
Ptpn7,0.011650430409000344,0.0199216179838156,-0.011096646400642979
Timm17a,-0.0010166550014934796,-0.003465676474937225,0.004296671859580583
Tmem9,-0.012618484689062726,-0.021468448259250695,-0.016520789772466172
Gm19705,-0.04501216259071732,-0.005035987238931662,0.0019811587274156653
Glrx2,-0.007070895642463186,0.04464954987341688,-0.0012251356485923428
Uchl5,0.006698445138282019,-0.018414286485947656,-0.012850745256425251
Odr4,0.0014567651523115374,0.001686308337315526,0.008403734844488725
Tpr,0.012586909053840223,3.402595383724914e-4,-0.005499142380556586
Trmt1l,0.01568252053632011,-0.018237449827952005,-0.01616077300772634
Fam129a,-0.024585892353948747,-0.051962480023342826,0.02457831345042739
Dhx9,0.01482570568177196,0.008315211235938442,-0.002960619201060639
Stx6,0.021298548971761196,0.010864530788390536,0.020192273999019142
Xpr1,0.0020941205198549526,-0.026295108709992826,-0.027821935903745307
Qsox1,0.041450936298721784,0.03709854685934467,0.041869148691786526
Tor1aip1,-0.005650020625389866,-0.015143575624348156,0.0023458719981076974
Gm2000,0.008229733460460353,0.02116395267640882,-0.02784332153164478
Cop1,-0.00165900808825116,0.016747007002667475,0.0020842079499511835
Mrps14,0.034737614679501,0.001635880895378115,0.025044968352774248
Cacybp,0.014911930688796753,-0.0015226551747181008,-0.028101083732403546
Pigc,0.00509376879498046,0.013768801478533025,0.012236086191170274
Creg1,0.007922957247476001,-0.024333050870215263,0.01073879388293243
Cd247,0.01843492885473358,0.006467714985169061,-0.0149694369713147
Tomm40l,-0.00774634755144703,0.011314453701224254,-0.004272814621521045
