genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Nme2,5.785623217868884e-7,-0.1361966097186722,0.779,0.817,0.008374689607865209
Izumo1r,6.743399698299243e-7,0.22878055259826802,0.702,0.662,0.009761071063288156
Foxo1,7.172221029269625e-7,-0.2586566735688842,0.335,0.394,0.010381789939867781
Hdac1,7.433129205792646e-7,0.2993417522200128,0.341,0.287,0.010759454525384855
Fxyd5,8.420367707124436e-7,0.13567330405596345,0.916,0.905,0.012188482256062621
Il7r,9.28660462902732e-7,0.3536355827771281,0.367,0.316,0.013442360200517046
Cd44,9.440387751780531e-7,0.5247303085057213,0.138,0.099,0.01366496127070232
Fam129a,9.603843476958626e-7,0.4976014379068632,0.152,0.112,0.01390156343289761
Jund,9.996978145626984e-7,0.1386215185006372,0.891,0.888,0.01447062586579506
Irgm1,1.0171952529518964e-6,-0.4687727180439847,0.119,0.16,0.0147239012864787
Zbp1,1.0239849156609975e-6,-0.33665689410676425,0.155,0.202,0.014822181654192938
Lef1,1.0636164452560527e-6,-0.23272969848925673,0.341,0.401,0.015395848045081362
Laptm5,1.2458874572091226e-6,0.1355379699480772,0.888,0.871,0.01803422094310205
Cox7a2l,1.4925686837635709e-6,-0.1727555545668449,0.536,0.587,0.021604931697477688
Gnai2,1.5401306620608616e-6,0.13516178595187434,0.846,0.825,0.02229339133333097
Mif4gd,1.7843591396995087e-6,0.41765735774136536,0.235,0.19,0.02582859854715039
Laptm4a,1.8173601335943595e-6,0.34874895108783766,0.315,0.266,0.026306287933778354
Ms4a4c,1.9044422056785397e-6,-0.544319464601315,0.065,0.097,0.027566800927196863
Saraf,2.1124311263147756e-6,-0.21405785194502902,0.376,0.433,0.030577440553406377
Nrn1,2.1353801477540253e-6,0.8737870313701852,0.072,0.045,0.030909627638739518
Eef1d,2.2722038329157014e-6,-0.15346127270007393,0.705,0.751,0.03289015048145478
Nrp1,2.5142379905485546e-6,0.3924141797648726,0.24,0.193,0.03639359491319033
Nav2,2.5971138846294565e-6,0.982732897539663,0.064,0.038,0.03759322348001138
Bcl2a1d,2.6134306351025817e-6,0.8379563295699075,0.068,0.042,0.03782940844310987
Cep85,2.6356135431005614e-6,0.8866532071281394,0.055,0.031,0.03815050603638063
Lag3,3.3558644798698134e-6,0.8325287622224429,0.058,0.034,0.04857613834611555
Bst2,3.521367951499717e-6,-0.2534270233366145,0.261,0.312,0.0509718010979584
Irgm2,3.8134607349037173e-6,-0.8338022093573234,0.038,0.063,0.05519984413773131
Evl,3.931455036382465e-6,-0.21979997173624644,0.358,0.413,0.056907811651636185
Arf1,3.990294664640918e-6,0.20910350142145645,0.505,0.453,0.05775951527067729
Abhd17c,3.9980807429908995e-6,-0.8564211966207118,0.023,0.043,0.05787221875479327
Rpl5,4.481425331107886e-6,-0.11171640857722243,0.884,0.905,0.06486863166778666
Satb1,4.704202181288695e-6,-0.2697555214485021,0.237,0.287,0.06809332657415386
Rpl23a,5.529595360822539e-6,-0.14220437020621302,0.723,0.78,0.08004089284790625
Gpr68,5.985110439786441e-6,0.6042338824461853,0.083,0.055,0.08663447361590873
Capza1,6.601412918918525e-6,0.2500864701040084,0.439,0.392,0.09555545200134564
Hist1h4n,7.004830470810289e-6,1.9284892365273167,0.014,0.004,0.10139492106497892
Prkch,7.402369388100622e-6,0.2557419927205153,0.446,0.4,0.10714929689275651
Itgb7,7.482874643792303e-6,-0.17918369865587735,0.554,0.602,0.10831461046889358
Npm1,7.5516565862374e-6,-0.12530277701063763,0.849,0.871,0.10931022908578637
Grb2,7.755366185402923e-6,0.2809860286917214,0.332,0.283,0.11225892553370731
Lbh,8.47719011984028e-6,0.2484406732940876,0.385,0.335,0.12270732698468804
Smco4,9.454706699347634e-6,0.5075848139324282,0.177,0.14,0.136856879473057
Tapbpl,1.1187752156460875e-5,-0.4307006155747386,0.113,0.149,0.16194271246477118
Shisa5,1.1401829220030934e-5,0.10205535393240472,0.98,0.988,0.16504147795994778
Myl12b,1.266702283467045e-5,0.12057487736289407,0.879,0.87,0.18335515553185477
Ctsb,1.3819152427156686e-5,0.29662050079640334,0.38,0.335,0.20003223138309303
Cd86,1.4277921298806478e-5,-0.7499172629943054,0.03,0.051,0.20667291080022376
Hnrnpa2b1,1.4321963215785704e-5,0.14099498145639555,0.801,0.793,0.20731041754849808
Hnrnpu,1.4552838747645586e-5,0.18034821105780785,0.606,0.566,0.21065234087216986
Gimap6,1.5732878326979454e-5,-0.1539905195451659,0.644,0.698,0.22773341378302758
A930005H10Rik,1.6078841967532767e-5,-0.3528164290678957,0.167,0.207,0.2327412374800368
Eif3k,1.713320107960436e-5,-0.1372968620946225,0.664,0.709,0.2480030856272731
Ahnak,1.7262316839715934e-5,0.30919983376015947,0.291,0.247,0.24987203625488813
Anxa2,1.7906010080901514e-5,0.49638761677170384,0.119,0.087,0.2591894959210494
Cxcr4,1.879824580148929e-5,1.0188449903990673,0.027,0.012,0.27210460797655744
Rap1a,1.8977493683212215e-5,0.2527763923729387,0.452,0.412,0.2746992210644968
2310001H17Rik,1.953211882327969e-5,0.31821188335320927,0.238,0.196,0.2827274199669735
Serpinb6a,2.1060305361482148e-5,0.4458138743543829,0.127,0.094,0.3048479201074541
Mrps34,2.1650403769579e-5,-0.3025813054460733,0.17,0.212,0.31338959456465604
Arf6,2.252926188063601e-5,0.28626845860764105,0.392,0.35,0.3261110657222062
9330175E14Rik,2.4123589800965628e-5,-0.6839540006159464,0.037,0.059,0.34918896236897745
Snhg8,2.4220181296809917e-5,-0.26683318683661383,0.223,0.268,0.35058712427132355
Gm4316,2.497701091586515e-5,0.8542142886262685,0.025,0.011,0.36154223300714805
Nfkb1,2.7506396205874574e-5,0.3145259328216736,0.335,0.294,0.39815508508003444
Arpc2,2.8097099336514355e-5,0.12895851238202405,0.813,0.795,0.4067055128960453
Serinc3,2.936437934546457e-5,0.3121445617017256,0.419,0.382,0.4250493910255997
Timp2,3.231737582087586e-5,0.5047356831035192,0.116,0.086,0.4677940150071781
Nsmf,3.507833829941492e-5,1.1964643836313815,0.023,0.01,0.507758946884031
Gata3,3.515098810471782e-5,0.498696067147558,0.197,0.161,0.5088105528157905
Gapdh,3.752185478477746e-5,0.15312904663117666,0.824,0.813,0.5431288480096538
Ctse,3.946629562639563e-5,0.5963485485994635,0.092,0.065,0.5712746291920767
Ttc39c,3.953055911115372e-5,0.7454909224839223,0.061,0.039,0.5722048431339501
Gimap4,4.097079422500922e-5,-0.15949246026162184,0.536,0.589,0.5930522464070085
Maf,4.183089580054015e-5,0.4163537869704639,0.214,0.177,0.6055022167128187
Rps27rt,4.4419600406296454e-5,-0.16911758628543283,0.425,0.475,0.6429737158811412
Dusp14,5.4112115445664746e-5,1.6088277486118994,0.013,0.004,0.7832728710759972
Itgb8,5.4416193821208285e-5,0.8591883244105825,0.048,0.029,0.78767440556199
Eif4a2,5.650977016538239e-5,-0.22463633443247333,0.243,0.287,0.8179789231439101
Ptma,5.7432631336503735e-5,0.11925157944448506,0.967,0.955,0.8313373385958915
Mcm6,6.202526882422624e-5,0.4674816292595012,0.152,0.119,0.8978157662306748
Hspb11,6.250673779156362e-5,-0.5224905779218307,0.07,0.097,0.9047850295328833
Hnrnpl,6.327079519983507e-5,0.19784561402974143,0.491,0.45,0.9158447605176125
6330403K07Rik,6.327367878794732e-5,0.9534759199993452,0.029,0.015,0.9158865004555374
Tbc1d8b,6.328490146906162e-5,0.9902758382022965,0.028,0.014,0.9160489487646669
Cd52,6.416272764691355e-5,0.10937988337248017,0.986,0.985,0.9287554826890736
Gbp4,6.678273339918559e-5,-0.36096157883347435,0.161,0.197,0.9666800659532114
Slc35g1,6.777694912103461e-5,0.9010085001052097,0.035,0.019,0.981071338526976
Slc44a2,6.842491362950325e-5,-0.275228254100631,0.244,0.285,0.9904506247870596
Lgals1,6.976537545728933e-5,0.260424519712387,0.516,0.482,1
Cdc42,7.179391520326794e-5,0.12961616984998808,0.714,0.687,1
Mbnl1,7.273682942903204e-5,0.16230666137524297,0.733,0.715,1
Neu3,7.456065620700531e-5,0.7185304483198127,0.048,0.029,1
Hist1h2bg,7.524095110999863e-5,1.240858502989835,0.022,0.01,1
Lars2,7.878601609666185e-5,0.15362091501609942,0.852,0.84,1
Hist1h2ak,8.07041952278329e-5,1.6961887082167113,0.013,0.004,1
Rasgrf2,8.187469350901093e-5,1.3316428544350716,0.017,0.006,1
Cyfip1,8.597483188659391e-5,0.4706452695975294,0.122,0.092,1
Jak3,8.744508108257585e-5,0.30545736439585847,0.184,0.148,1
Tox2,8.867162998073231e-5,0.7777371252034753,0.046,0.028,1
2310015A10Rik,9.150222939853758e-5,0.9713978279966069,0.037,0.021,1
Ifitm2,9.1509505778033e-5,0.7595360741523294,0.041,0.024,1
Ldlrad4,9.160787203685727e-5,0.5515593424539427,0.072,0.049,1
S100a4,9.393967555639329e-5,0.3781332592843295,0.15,0.117,1
Spock2,9.518767078486897e-5,0.9507615353023091,0.029,0.015,1
Polr2b,9.811150918790649e-5,0.4736777246349364,0.108,0.08,1
Eea1,1.0011468999063473e-4,0.5636235564788303,0.131,0.101,1
Slc39a4,1.0591367863998206e-4,0.9804429675996147,0.03,0.015,1
Casp3,1.115194273472704e-4,0.5236414187924208,0.093,0.067,1
Calhm6,1.1457939673990012e-4,-0.5082187011836337,0.083,0.11,1
Gm12216,1.2763615318639966e-4,-0.5067609987095953,0.05,0.073,1
Pex13,1.2940501883637338e-4,-0.5057613831900336,0.047,0.069,1
Wdr1,1.3029517964995244e-4,0.19849800126618883,0.476,0.436,1
St13,1.3030935973627452e-4,-0.25099459333984075,0.168,0.206,1
H2-DMa,1.3337844168327095e-4,-0.4019460936658348,0.104,0.134,1
Ergic1,1.3470694015469057e-4,0.4560177787247377,0.112,0.084,1
Mapkapk2,1.4205432457201246e-4,0.3253838639633897,0.158,0.125,1
Gcdh,1.4238925601138498e-4,-0.7137013440099986,0.027,0.044,1
Pdzk1ip1,1.4406561778493768e-4,1.0005441736561238,0.036,0.021,1
Zap70,1.4671975856458643e-4,0.25982125325868766,0.349,0.309,1
Prdx1,1.4827594406357678e-4,0.205082497154467,0.524,0.497,1
Ccr7,1.5917353764979147e-4,-0.15564038399021796,0.389,0.436,1
Eif5b,1.647398213288689e-4,0.29198873209319,0.232,0.195,1
4930503L19Rik,1.6851520923413552e-4,0.741067587235519,0.04,0.024,1
St3gal1,1.689071517031613e-4,0.4282555029700781,0.124,0.095,1
Calm1,1.6990979005542098e-4,0.12816753934898573,0.81,0.801,1
Ptprcap,1.770175065334717e-4,0.10923890323167806,0.859,0.848,1
Tdrd3,1.8095675417993052e-4,1.0120398124939527,0.029,0.015,1
Ephx1,1.8588741245298906e-4,0.26884826672025564,0.268,0.23,1
Pdk1,1.8853662474056722e-4,-0.40650053486918925,0.096,0.124,1
4930481A15Rik,1.9114159433724937e-4,-0.5684767831960107,0.038,0.058,1
Ptp4a2,1.9936350332905062e-4,0.1918665881633232,0.51,0.471,1
Prex1,2.0433360158818837e-4,0.3387263885248535,0.143,0.113,1
Ier5l,2.0747184511646835e-4,1.168488810970195,0.015,0.006,1
Hist1h1d,2.080059708517287e-4,0.6275251450403849,0.063,0.043,1
Ebi3,2.112437364156737e-4,0.5969217179780344,0.08,0.057,1
Fkbp5,2.188254289321459e-4,0.5207364189870423,0.078,0.055,1
Rln3,2.2460954647197693e-4,0.3624016350757928,0.149,0.119,1
Ces2c,2.246567387225091e-4,0.6023501845406942,0.046,0.029,1
Malt1,2.277916034673774e-4,0.4249951738064919,0.144,0.114,1
Clic1,2.2952209073227845e-4,0.10960891118243865,0.817,0.804,1
Sf3b1,2.3003645362012012e-4,0.14338553338525384,0.567,0.523,1
Fam124b,2.3080827294747798e-4,0.9637442554531725,0.026,0.013,1
Irf8,2.483135883020701e-4,-0.7553386338527117,0.02,0.034,1
Phf11a,2.519757124763441e-4,-0.5677609831114232,0.029,0.046,1
Nlrc5,2.5325155138117484e-4,-0.3474109250465758,0.116,0.147,1
Cgas,2.6322149064235195e-4,1.2744668956326537,0.015,0.006,1
Csk,2.644839112801038e-4,0.18716231838059605,0.464,0.426,1
Tnfrsf8,2.6452903164747246e-4,1.210336558212938,0.015,0.006,1
Dhfr,2.654323772927114e-4,1.1234009214416574,0.021,0.01,1
Mir155hg,2.7161185933925974e-4,0.5773113123647917,0.041,0.025,1
Pak2,2.7407262029458077e-4,0.17740640577394043,0.52,0.488,1
Chst12,2.749740707236435e-4,0.4340780165523572,0.086,0.063,1
Adap1,2.7541852912856284e-4,0.8066811175570567,0.04,0.024,1
Id2,2.827538024746003e-4,0.5750545444087911,0.095,0.07,1
Nab1,2.9251111170523536e-4,0.40275763257738406,0.124,0.096,1
Pdlim1,2.9639164596763145e-4,-0.26891650133710265,0.179,0.214,1
Atpif1,2.98196887682042e-4,0.3113716767176924,0.298,0.264,1
Tnfrsf1b,3.0245051862852457e-4,0.37416174555498705,0.119,0.092,1
Tapbp,3.1555823262007545e-4,-0.14933261868053815,0.354,0.398,1
Clic4,3.174814617503787e-4,-0.6533037877757621,0.029,0.046,1
Nfkbia,3.1856621987821443e-4,0.24518666170159847,0.583,0.56,1
Nop9,3.190814657147372e-4,0.4713242248619638,0.082,0.059,1
Abcc1,3.216964544920049e-4,0.5928862047428778,0.052,0.034,1
